	0	1	2	organism
5	GATA4_MOUSE.PEAKS037169.pics.control	3.8651623591696316	/home/pavel-kravchenko/wlogauc_datasets/di/GATA4.M.txt	MOUSE
7	GATA4_MOUSE.PEAKS037169.sissrs.control	3.5976686937212787	/home/pavel-kravchenko/wlogauc_datasets/di/GATA4.M.txt	MOUSE
8	GATA4_MOUSE.PEAKS037169.gem.control	3.5767491937855835	/home/pavel-kravchenko/wlogauc_datasets/di/GATA4.M.txt	MOUSE
9	GATA4_MOUSE.PEAKS039541.gem.control	3.5590791381795537	/home/pavel-kravchenko/wlogauc_datasets/di/GATA4.M.txt	MOUSE
11	GATA4_MOUSE.PEAKS036330.pics.control	3.543416725489166	/home/pavel-kravchenko/wlogauc_datasets/di/GATA4.M.txt	MOUSE
12	GATA4_MOUSE.PEAKS037169.macs.control	3.5026311671646693	/home/pavel-kravchenko/wlogauc_datasets/di/GATA4.M.txt	MOUSE
13	GATA4_MOUSE.PEAKS036330.sissrs.control	3.4730573588977296	/home/pavel-kravchenko/wlogauc_datasets/di/GATA4.M.txt	MOUSE
14	GATA4_MOUSE.PEAKS036330.macs.control	3.3032676766428364	/home/pavel-kravchenko/wlogauc_datasets/di/GATA4.M.txt	MOUSE
15	GATA4_MOUSE.PEAKS036330.gem.control	3.2705695693465007	/home/pavel-kravchenko/wlogauc_datasets/di/GATA4.M.txt	MOUSE
17	GATA4_MOUSE.PEAKS035683.gem.control	3.0456492306428955	/home/pavel-kravchenko/wlogauc_datasets/di/GATA4.M.txt	MOUSE
19	GATA4_MOUSE.PEAKS039541.macs.control	2.9701783768769467	/home/pavel-kravchenko/wlogauc_datasets/di/GATA4.M.txt	MOUSE
20	GATA4_MOUSE.PEAKS035683.macs.control	2.804526934031844	/home/pavel-kravchenko/wlogauc_datasets/di/GATA4.M.txt	MOUSE
21	GATA4_MOUSE.PEAKS039539.sissrs.control	2.4141767002799224	/home/pavel-kravchenko/wlogauc_datasets/di/GATA4.M.txt	MOUSE
23	GATA4_MOUSE.PEAKS035683.sissrs.control	2.1042068299404657	/home/pavel-kravchenko/wlogauc_datasets/di/GATA4.M.txt	MOUSE
26	GATA4_MOUSE.PEAKS039539.gem.control	1.6893710853691006	/home/pavel-kravchenko/wlogauc_datasets/di/GATA4.M.txt	MOUSE
30	GATA4_MOUSE.PEAKS039539.macs.control	1.1646701747949433	/home/pavel-kravchenko/wlogauc_datasets/di/GATA4.M.txt	MOUSE
31	GATA4_MOUSE.PEAKS038076.macs.control	0.5819632164999226	/home/pavel-kravchenko/wlogauc_datasets/di/GATA4.M.txt	MOUSE
